#Description: Extinction ratio vs. number of incoming target photons
#Created: 2015-12-15 20:04:21.896737 by S. Baur
#Data path: /afs/ipp-garching.mpg.de/mpq/qdynamics/project/bec/data/2015/12/151215/
#Data: {'store_001': 231}
#Excluded data: [('store_003', 155), ('store_003', 156), ('store_003', 157)]
#Interval: (0.05, 0.95)
#Interval EIT: (1.0, 1.2)
#Interval Reference: (1.3, 1.5)
#Shot length: 0.0001
#ROI0: (1.03e-05, 1.1e-05)
#ROI1: (2.525e-05, 2.645e-05)
#Photons per click: 3.7
#Photons in gate pulse (gate on, w/o atoms): 5.023591e-01
#Photons in gate pulse (gate off, w/o atoms): 5.045455e-05
#Photons in target pulse (gate on, w/o atoms): 8.417508e-05
#Photons in target pulse (gate off, w/o atoms): 8.409091e-05
#storage time	retrieval efficiency	retrieval efficiency err
1.000000000000000056e-01 2.011580165921615371e-01 8.462529968165440064e-03 nan nan
8.499999999999999778e-01 9.592936143297890739e-02 4.701198958322683544e-03 nan nan
1.600000000000000089e+00 4.088019715522647757e-02 3.162931356720686746e-03 nan nan
2.350000000000000089e+00 3.014340136679644067e-02 1.274319578464667762e-03 nan nan
3.100000000000000089e+00 3.908366835316712945e-02 2.303403909196502682e-03 nan nan
3.850000000000000089e+00 6.721623236042285898e-02 6.690430810404159392e-03 nan nan
4.599999999999999645e+00 6.799936410911802676e-02 3.731785741714791632e-03 nan nan
5.349999999999999645e+00 4.879423199323152521e-02 2.761045258718741041e-03 nan nan
6.099999999999999645e+00 2.686225845273427712e-02 1.541909948227248401e-03 nan nan
6.849999999999999645e+00 1.341844287983723870e-02 1.470974742318718756e-03 nan nan
7.599999999999999645e+00 1.467501442864059362e-02 1.146124771369222287e-03 nan nan
8.349999999999999645e+00 2.780661049946505509e-02 2.390694278160013318e-03 nan nan
9.099999999999999645e+00 1.908391490698733289e-02 2.090929628632102587e-03 nan nan
9.849999999999999645e+00 1.432573443046917389e-02 1.484395120339069771e-03 nan nan
1.059999999999999964e+01 7.786445475720957764e-03 6.986326531257001449e-04 nan nan
1.134999999999999964e+01 5.451180130011943833e-03 1.093538844917622431e-03 nan nan
1.209999999999999964e+01 2.561994878844780967e-03 2.551978250253313942e-04 nan nan
1.284999999999999964e+01 2.996814785261131282e-03 6.304149683293433981e-04 nan nan
1.359999999999999964e+01 3.438344489632264283e-03 6.948183996804526211e-04 nan nan
1.434999999999999964e+01 2.715439896759576800e-03 6.451081664513720311e-04 nan nan
