LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,252
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:44:17,0                 
Time,Ampl
-5.82337e-008,0.848
-5.78337e-008,1.064
-5.74337e-008,1.226
-5.70337e-008,1.294
-5.66337e-008,1.286
-5.62337e-008,1.182
-5.58337e-008,0.994
-5.54337e-008,0.736
-5.50337e-008,0.42
-5.46337e-008,0.062
-5.42337e-008,-0.284
-5.38337e-008,-0.62
-5.34337e-008,-0.902
-5.30337e-008,-1.13
-5.26337e-008,-1.268
-5.22337e-008,-1.326
-5.18337e-008,-1.29
-5.14337e-008,-1.17
-5.10337e-008,-0.972
-5.06337e-008,-0.696
-5.02337e-008,-0.374
-4.98337e-008,-0.036
