LECROYHDO6104,18334,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Feb-2016 09:42:00,0                 
Time,Ampl
-0.0051768419,0.00016
-0.0051767419,0.00224
-0.0051766419,-0.001
-0.0051765419,0.00344
-0.0051764419,-0.0046
-0.0051763419,0.0042
-0.0051762419,-0.00296
-0.0051761419,0.00212
-0.0051760419,-0.00136
-0.0051759419,0.00228
-0.0051758419,-0.00244
-0.0051757419,4e-005
-0.0051756419,0.00444
-0.0051755419,-0.00252
-0.0051754419,0.004
-0.0051753419,-0.00076
-0.0051752419,0.0062
-0.0051751419,-0.00132
-0.0051750419,0.0024
-0.0051749419,0.00348
-0.0051748419,0.0016
-0.0051747419,0.00504
-0.0051746419,0.00056
-0.0051745419,0.0078
-0.0051744419,-0.00028
-0.0051743419,0.00888
-0.0051742419,-0.00088
-0.0051741419,0.00812
-0.0051740419,0.00132
-0.0051739419,0.0056
-0.0051738419,0.00152
-0.0051737419,0.0042
-0.0051736419,0.00512
-0.0051735419,-0.0018
-0.0051734419,0.0058
-0.0051733419,-0.00012
-0.0051732419,0.00468
-0.0051731419,-0.0016
-0.0051730419,0.00524
-0.0051729419,0.00068
-0.0051728419,0.00176
-0.0051727419,0.00528
-0.0051726419,0.001
-0.0051725419,0.00432
-0.0051724419,-0.00084
-0.0051723419,0.00496
-0.0051722419,-0.0034
-0.0051721419,0.00484
-0.0051720419,0.00096
-0.0051719419,0.00072
-0.0051718419,3.46945e-018
-0.0051717419,0.00284
-0.0051716419,0.00368
-0.0051715419,-0.00272
-0.0051714419,0.00408
-0.0051713419,-0.00032
-0.0051712419,0.00508
-0.0051711419,-0.00324
-0.0051710419,0.00244
-0.0051709419,0.00052
-0.0051708419,0.00104
-0.0051707419,0.00464
-0.0051706419,-0.00208
-0.0051705419,0.00412
-0.0051704419,-0.00212
-0.0051703419,0.00552
-0.0051702419,-0.00384
-0.0051701419,0.00628
-0.0051700419,-0.00148
-0.0051699419,0.0044
-0.0051698419,-0.002
-0.0051697419,0.00448
-0.0051696419,0.00576
-0.0051695419,-0.00232
-0.0051694419,0.00416
-0.0051693419,0.00072
-0.0051692419,0.00668
-0.0051691419,-0.00248
-0.0051690419,0.00376
-0.0051689419,0.002
-0.0051688419,0.00272
-0.0051687419,0.00332
-0.0051686419,0.00064
-0.0051685419,0.0042
-0.0051684419,-0.00052
-0.0051683419,0.00684
-0.0051682419,-0.00244
-0.0051681419,0.00632
-0.0051680419,0.0018
-0.0051679419,0.00256
-0.0051678419,-0.00036
-0.0051677419,0.00248
-0.0051676419,0.00468
-0.0051675419,-0.00352
-0.0051674419,0.00416
-0.0051673419,-0.00048
-0.0051672419,0.00676
-0.0051671419,-0.00244
-0.0051670419,0.00348
-0.0051669419,0.00164
-0.0051668419,0.0024
-0.0051667419,0.00272
-0.0051666419,-0.00128
-0.0051665419,0.00428
-0.0051664419,-0.00176
-0.0051663419,0.00288
-0.0051662419,-0.0028
-0.0051661419,0.00624
-0.0051660419,-0.00096
-0.0051659419,0.00308
-0.0051658419,0.00144
-0.0051657419,0.00364
-0.0051656419,0.00216
-0.0051655419,-0.00172
-0.0051654419,0.00456
-0.0051653419,-0.00024
-0.0051652419,0.00496
-0.0051651419,-0.00356
-0.0051650419,0.00272
-0.0051649419,0.00056
-0.0051648419,0.00036
-0.0051647419,0.005
-0.0051646419,4e-005
-0.0051645419,0.0042
-0.0051644419,-0.00088
-0.0051643419,0.00704
-0.0051642419,-0.00224
-0.0051641419,0.00536
-0.0051640419,0.00128
-0.0051639419,0.00404
-0.0051638419,0.00028
-0.0051637419,0.00244
-0.0051636419,0.00376
-0.0051635419,-0.0014
-0.0051634419,0.00504
-0.0051633419,-0.00244
-0.0051632419,0.00684
-0.0051631419,-0.00208
-0.0051630419,0.00316
-0.0051629419,0.0022
-0.0051628419,0.00268
-0.0051627419,0.00148
-0.0051626419,0.00024
-0.0051625419,0.00348
-0.0051624419,-0.0018
-0.0051623419,0.00416
-0.0051622419,-0.00412
-0.0051621419,0.00276
-0.0051620419,-0.00176
-0.0051619419,0.00204
-0.0051618419,-0.00028
-0.0051617419,-0.00172
-0.0051616419,0.00452
-0.0051615419,-0.0022
-0.0051614419,0.00228
-0.0051613419,-0.0014
-0.0051612419,0.00372
-0.0051611419,-0.00416
-0.0051610419,0.00236
-0.0051609419,0.00156
-0.0051608419,-0.00088
-0.0051607419,0.00204
-0.0051606419,-0.00252
-0.0051605419,0.0018
-0.0051604419,-0.004
-0.0051603419,0.00528
-0.0051602419,-0.0034
-0.0051601419,0.0012
-0.0051600419,-0.00208
-0.0051599419,0.00428
-0.0051598419,-0.00168
-0.0051597419,0.0006
-0.0051596419,0.00304
-0.0051595419,-0.0022
-0.0051594419,0.00252
-0.0051593419,-0.00448
-0.0051592419,0.00236
-0.0051591419,-0.00224
-0.0051590419,0.00052
-0.0051589419,-0.00012
-0.0051588419,-4e-005
-0.0051587419,0.00176
-0.0051586419,-0.0042
-0.0051585419,0.00332
-0.0051584419,-0.00144
-0.0051583419,0.003
-0.0051582419,-0.00636
-0.0051581419,0.00312
-0.0051580419,-0.00184
-0.0051579419,-0.00088
-0.0051578419,-0.0014
-0.0051577419,-0.00076
-0.0051576419,0.0054
-0.0051575419,-0.00264
-0.0051574419,0.00628
-0.0051573419,-0.00092
-0.0051572419,0.0058
-0.0051571419,-0.0036
-0.0051570419,0.00536
-0.0051569419,-0.00072
-0.0051568419,0.00028
-0.0051567419,0.00184
-0.0051566419,0.00144
-0.0051565419,0.00408
-0.0051564419,-8e-005
-0.0051563419,0.00464
-0.0051562419,0.00036
-0.0051561419,0.00416
-0.0051560419,0.00084
-0.0051559419,0.00376
-0.0051558419,0.00272
-0.0051557419,0.00056
-0.0051556419,0.00388
-0.0051555419,-0.00084
-0.0051554419,0.00792
-0.0051553419,-0.0006
-0.0051552419,0.00536
-0.0051551419,0.00048
-0.0051550419,0.00668
-0.0051549419,0.001
-0.0051548419,0.0038
-0.0051547419,0.0052
-0.0051546419,-8e-005
-0.0051545419,0.00464
-0.0051544419,0.00044
-0.0051543419,0.0066
-0.0051542419,-0.003
-0.0051541419,0.00796
-0.0051540419,0.00248
-0.0051539419,0.00424
-0.0051538419,0.0024
-0.0051537419,0.00148
-0.0051536419,0.0062
-0.0051535419,-0.003
-0.0051534419,0.00548
-0.0051533419,-0.0034
-0.0051532419,0.00708
-0.0051531419,-0.00108
-0.0051530419,0.00552
-0.0051529419,0.0006
-0.0051528419,0.0048
-0.0051527419,0.00444
-0.0051526419,0.00164
-0.0051525419,0.00396
-0.0051524419,-0.00048
-0.0051523419,0.00628
-0.0051522419,-0.00256
-0.0051521419,0.0028
-0.0051520419,0.00104
-0.0051519419,0.00296
-0.0051518419,0.00016
-0.0051517419,0.00124
-0.0051516419,0.00528
-0.0051515419,-0.00232
-0.0051514419,0.00456
-0.0051513419,-0.00208
-0.0051512419,0.00544
-0.0051511419,-0.00268
-0.0051510419,0.00364
-0.0051509419,0.00156
-0.0051508419,0.00208
-0.0051507419,0.0006
-0.0051506419,0.0006
-0.0051505419,0.00516
-0.0051504419,-0.00092
-0.0051503419,0.00476
-0.0051502419,-0.0018
-0.0051501419,0.0042
-0.0051500419,-0.00048
-0.0051499419,0.0022
-0.0051498419,0.00028
-0.0051497419,-0.0012
-0.0051496419,0.0058
-0.0051495419,-0.00356
-0.0051494419,0.00516
-0.0051493419,-0.0032
-0.0051492419,0.006
-0.0051491419,-0.00344
-0.0051490419,0.00272
-0.0051489419,0.00224
-0.0051488419,0.00148
-0.0051487419,-4e-005
-0.0051486419,-0.0002
-0.0051485419,0.00432
-0.0051484419,-0.00216
-0.0051483419,0.0036
-0.0051482419,-0.00196
-0.0051481419,0.00548
-0.0051480419,0.00048
-0.0051479419,0.00232
-0.0051478419,0.00292
-0.0051477419,0.00092
-0.0051476419,0.0038
-0.0051475419,-0.00196
-0.0051474419,0.00684
-0.0051473419,-0.00384
-0.0051472419,0.00532
-0.0051471419,-4e-005
-0.0051470419,0.00508
-0.0051469419,-0.0002
-0.0051468419,0.00104
-0.0051467419,0.00336
-0.0051466419,-0.00076
-0.0051465419,0.00184
-0.0051464419,-0.0014
-0.0051463419,0.00308
-0.0051462419,-0.0032
-0.0051461419,0.00312
-0.0051460419,-0.00032
-0.0051459419,-0.00012
-0.0051458419,0.00048
-0.0051457419,-0.00164
-0.0051456419,0.0048
-0.0051455419,-0.00352
-0.0051454419,0.00492
-0.0051453419,-0.00432
-0.0051452419,0.00596
-0.0051451419,-0.00336
-0.0051450419,0.00252
-0.0051449419,-0.00248
-0.0051448419,0.00104
-0.0051447419,0.00128
-0.0051446419,-0.00188
-0.0051445419,0.001
-0.0051444419,-0.00264
-0.0051443419,0.0008
-0.0051442419,-0.0068
-0.0051441419,0.00164
-0.0051440419,-0.00224
-0.0051439419,-0.00296
-0.0051438419,-0.0034
-0.0051437419,-0.00036
-0.0051436419,0.00152
-0.0051435419,-0.00628
-0.0051434419,0.00372
-0.0051433419,-0.00404
-0.0051432419,0.00296
-0.0051431419,-0.00328
-0.0051430419,0.00328
-0.0051429419,-0.00264
-0.0051428419,-0.00172
-0.0051427419,0.00108
-0.0051426419,-0.00168
-0.0051425419,0.00184
-0.0051424419,-0.00272
-0.0051423419,0.00284
-0.0051422419,-0.00232
-0.0051421419,0.0046
-0.0051420419,-0.00164
-0.0051419419,0.00136
-0.0051418419,-0.00112
-0.0051417419,-0.00116
-0.0051416419,0.0022
-0.0051415419,-0.00252
-0.0051414419,0.00276
-0.0051413419,-0.006
-0.0051412419,0.00528
-0.0051411419,-0.00324
-0.0051410419,0.00092
-0.0051409419,-0.00204
-0.0051408419,0.00224
-0.0051407419,-0.00144
-0.0051406419,-0.0026
-0.0051405419,0.00188
-0.0051404419,-0.00304
-0.0051403419,-0.00116
-0.0051402419,-0.00404
-0.0051401419,0.00296
-0.0051400419,-0.00312
-0.0051399419,-0.00072
-0.0051398419,0.00076
-0.0051397419,-0.00476
-0.0051396419,0.00392
-0.0051395419,-0.00288
-0.0051394419,0.00288
-0.0051393419,-0.00832
-0.0051392419,0.00624
-0.0051391419,-0.00364
-0.0051390419,-0.00028
-0.0051389419,-0.00312
-0.0051388419,0.0026
-0.0051387419,0.0002
-0.0051386419,-0.0024
-0.0051385419,0.00228
-0.0051384419,-0.00116
-0.0051383419,0.00272
-0.0051382419,-0.0036
-0.0051381419,0.00264
-0.0051380419,-0.00036
-0.0051379419,-0.00032
-0.0051378419,0.00112
-0.0051377419,0.00052
-0.0051376419,0.00048
-0.0051375419,-0.00224
-0.0051374419,0.00476
-0.0051373419,-0.0026
-0.0051372419,0.00632
-0.0051371419,-0.00152
-0.0051370419,0.00332
-0.0051369419,-0.00076
-0.0051368419,0.00352
-0.0051367419,0.0034
-0.0051366419,-0.00052
-0.0051365419,0.00412
-0.0051364419,3.46945e-018
-0.0051363419,0.00372
-0.0051362419,0.00036
-0.0051361419,0.00564
-0.0051360419,0.00128
-0.0051359419,0.00232
-0.0051358419,0.00256
-0.0051357419,0.00232
-0.0051356419,0.0046
-0.0051355419,-0.00212
-0.0051354419,0.00368
-0.0051353419,-0.00116
-0.0051352419,0.0058
-0.0051351419,-0.00068
-0.0051350419,0.00288
-0.0051349419,0.00056
-0.0051348419,0.00032
-0.0051347419,0.00516
-0.0051346419,-0.00132
-0.0051345419,0.0032
-0.0051344419,-0.00232
-0.0051343419,0.00644
-0.0051342419,-0.0036
-0.0051341419,0.00308
-0.0051340419,0.00092
-0.0051339419,0.00328
-0.0051338419,-0.00012
-0.0051337419,0.00236
-0.0051336419,0.0066
-0.0051335419,-0.00264
-0.0051334419,0.00456
-0.0051333419,-0.00064
-0.0051332419,0.00636
-0.0051331419,-0.00228
-0.0051330419,0.00424
-0.0051329419,0.00152
-0.0051328419,0.00244
-0.0051327419,0.00232
-0.0051326419,0.00144
-0.0051325419,0.00376
-0.0051324419,4e-005
-0.0051323419,0.00612
-0.0051322419,-0.00116
-0.0051321419,0.00276
-0.0051320419,-0.00036
-0.0051319419,0.00296
-0.0051318419,0.00096
-0.0051317419,0.00052
-0.0051316419,0.0052
-0.0051315419,-0.00236
-0.0051314419,0.00552
-0.0051313419,-0.00212
-0.0051312419,0.0032
-0.0051311419,-0.00164
-0.0051310419,0.00176
-0.0051309419,-0.00176
-0.0051308419,-0.00016
-0.0051307419,0.00068
-0.0051306419,-0.00452
-0.0051305419,0.00344
-0.0051304419,-0.0024
-0.0051303419,0.0026
-0.0051302419,-0.00496
-0.0051301419,0.00552
-0.0051300419,-0.00064
-0.0051299419,-0.00156
-0.0051298419,0.00196
-0.0051297419,0.00028
-0.0051296419,0.0012
-0.0051295419,-0.00444
-0.0051294419,0.00676
-0.0051293419,-0.00284
-0.0051292419,0.00272
-0.0051291419,-0.0004
-0.0051290419,0.00304
-0.0051289419,-0.0008
-0.0051288419,0.00188
-0.0051287419,0.00216
-0.0051286419,-0.00404
-0.0051285419,0.00248
-0.0051284419,-0.0024
-0.0051283419,0.00364
-0.0051282419,-0.00392
-0.0051281419,0.00368
-0.0051280419,-0.0016
-0.0051279419,0.00192
-0.0051278419,-0.001
-0.0051277419,0.0022
-0.0051276419,0.00496
-0.0051275419,-0.00316
-0.0051274419,0.00464
-0.0051273419,0.001
-0.0051272419,0.00448
-0.0051271419,-0.00316
-0.0051270419,0.00372
-0.0051269419,0.00204
-0.0051268419,0.00152
-0.0051267419,0.003
-0.0051266419,0.0004
-0.0051265419,0.0058
-0.0051264419,-0.00052
-0.0051263419,0.00536
-0.0051262419,-0.00408
-0.0051261419,0.00528
-0.0051260419,0.00068
-0.0051259419,0.0024
-0.0051258419,0.00048
-0.0051257419,0.0028
-0.0051256419,0.0046
-0.0051255419,-0.00056
-0.0051254419,0.00392
-0.0051253419,-8e-005
-0.0051252419,0.00604
-0.0051251419,-0.00072
-0.0051250419,0.00216
-0.0051249419,0.0038
-0.0051248419,0.0036
-0.0051247419,0.0034
-0.0051246419,-0.00076
-0.0051245419,0.0072
-0.0051244419,4e-005
-0.0051243419,0.00428
-0.0051242419,-0.00084
-0.0051241419,0.00656
-0.0051240419,-8e-005
-0.0051239419,0.00352
-0.0051238419,0.00148
-0.0051237419,0.00056
-0.0051236419,0.00424
-0.0051235419,-0.00168
-0.0051234419,0.00476
-0.0051233419,-0.00304
-0.0051232419,0.00648
-0.0051231419,-0.00196
-0.0051230419,0.0038
-0.0051229419,0.001
-0.0051228419,0.0038
-0.0051227419,0.00312
-0.0051226419,-0.00124
-0.0051225419,0.00568
-0.0051224419,8e-005
-0.0051223419,0.00652
-0.0051222419,-0.00096
-0.0051221419,0.00628
-0.0051220419,0.00148
-0.0051219419,0.0044
-0.0051218419,0.00124
-0.0051217419,0.00072
-0.0051216419,0.00584
-0.0051215419,0.00076
-0.0051214419,0.00392
-0.0051213419,-0.00092
-0.0051212419,0.00532
-0.0051211419,-0.00096
-0.0051210419,0.00252
-0.0051209419,0.00344
-0.0051208419,0.0006
-0.0051207419,0.00456
-0.0051206419,-0.00164
-0.0051205419,0.00732
-0.0051204419,-0.0002
-0.0051203419,0.0054
-0.0051202419,-0.0036
-0.0051201419,0.00716
-0.0051200419,-0.0006
-0.0051199419,0.00132
-0.0051198419,-0.00024
-0.0051197419,0.00208
-0.0051196419,0.00232
-0.0051195419,-0.00224
-0.0051194419,0.0052
-0.0051193419,-0.00012
-0.0051192419,0.00512
-0.0051191419,-0.00116
-0.0051190419,0.00412
-0.0051189419,0.00232
-0.0051188419,0.00112
-0.0051187419,0.0044
-0.0051186419,-0.00092
-0.0051185419,0.0046
-0.0051184419,-0.00076
-0.0051183419,0.00676
-0.0051182419,-0.003
-0.0051181419,0.00596
-0.0051180419,0.00076
-0.0051179419,0.00312
-0.0051178419,-0.00032
-0.0051177419,-0.00036
-0.0051176419,0.00456
-0.0051175419,-0.0018
-0.0051174419,0.0038
-0.0051173419,-0.00064
-0.0051172419,0.00476
-0.0051171419,-0.00276
-0.0051170419,0.00172
-0.0051169419,0.00012
-0.0051168419,0.00028
-0.0051167419,0.00364
-0.0051166419,-0.00144
-0.0051165419,0.00552
-0.0051164419,0.00132
-0.0051163419,0.00496
-0.0051162419,-0.00356
-0.0051161419,0.00648
-0.0051160419,0.00216
-0.0051159419,0.00188
-0.0051158419,0.00068
-0.0051157419,0.00212
-0.0051156419,0.00504
-0.0051155419,-0.0008
-0.0051154419,0.00512
-0.0051153419,-0.00064
-0.0051152419,0.00564
-0.0051151419,-0.00156
-0.0051150419,0.003
-0.0051149419,0.00276
-0.0051148419,0.00428
-0.0051147419,0.00284
-0.0051146419,-0.00072
-0.0051145419,0.00592
-0.0051144419,-0.00152
-0.0051143419,0.00244
-0.0051142419,-0.00248
-0.0051141419,0.00664
-0.0051140419,-0.00216
-0.0051139419,0.00128
-0.0051138419,-0.00032
-0.0051137419,0.00048
-0.0051136419,0.00212
-0.0051135419,-0.0006
-0.0051134419,0.0028
-0.0051133419,-0.00364
-0.0051132419,0.00216
-0.0051131419,-0.00228
-0.0051130419,0.00048
-0.0051129419,-0.00108
-0.0051128419,-8e-005
-0.0051127419,0.0006
-0.0051126419,-0.00364
-0.0051125419,0.00328
-0.0051124419,-0.0018
-0.0051123419,0.00236
-0.0051122419,-0.00312
-0.0051121419,0.0034
-0.0051120419,-0.00092
-0.0051119419,-0.0006
-0.0051118419,8e-005
-0.0051117419,-0.00024
-0.0051116419,0.00244
-0.0051115419,-0.0036
-0.0051114419,0.00428
-0.0051113419,-0.00076
-0.0051112419,0.00332
-0.0051111419,-0.00012
-0.0051110419,0.00652
-0.0051109419,0.00168
-0.0051108419,0.00044
-0.0051107419,0.004
-0.0051106419,0.0028
-0.0051105419,0.00444
-0.0051104419,-0.00176
-0.0051103419,0.00656
-0.0051102419,0.00016
-0.0051101419,0.00372
-0.0051100419,0.00312
-0.0051099419,0.00488
-0.0051098419,0.00268
-0.0051097419,0.00156
-0.0051096419,0.00628
-0.0051095419,-0.00228
-0.0051094419,0.00672
-0.0051093419,-0.00064
-0.0051092419,0.00536
-0.0051091419,-0.00188
-0.0051090419,0.00432
-0.0051089419,0.00288
-0.0051088419,-8e-005
-0.0051087419,0.00236
-0.0051086419,-0.0002
-0.0051085419,0.00388
-0.0051084419,-0.002
-0.0051083419,0.00404
-0.0051082419,-0.00108
-0.0051081419,0.0038
-0.0051080419,-0.00304
-0.0051079419,0.00024
-0.0051078419,0.00244
-0.0051077419,-0.00152
-0.0051076419,0.00332
-0.0051075419,-0.00392
-0.0051074419,0.00376
-0.0051073419,-0.00508
-0.0051072419,0.0036
-0.0051071419,-0.00392
-0.0051070419,-0.00056
-0.0051069419,-0.00248
-0.0051068419,-0.00108
-0.0051067419,0.0002
-0.0051066419,-0.00312
-0.0051065419,0.00352
-0.0051064419,-0.00312
-0.0051063419,0.002
-0.0051062419,-0.00336
-0.0051061419,0.00496
-0.0051060419,-0.00376
-0.0051059419,0.0006
-0.0051058419,-0.0018
-0.0051057419,0.00292
-0.0051056419,0.00096
-0.0051055419,-0.00324
-0.0051054419,0.00284
-0.0051053419,0.00048
-0.0051052419,0.00396
-0.0051051419,-0.00048
-0.0051050419,0.00428
-0.0051049419,0.00304
-0.0051048419,0.00116
-0.0051047419,0.00384
-0.0051046419,0.00028
-0.0051045419,0.00548
-0.0051044419,-0.00124
-0.0051043419,0.00448
-0.0051042419,-0.00052
-0.0051041419,0.0076
-0.0051040419,0.00088
-0.0051039419,0.00324
-0.0051038419,0.0054
-0.0051037419,0.00096
-0.0051036419,0.00424
-0.0051035419,-0.00224
-0.0051034419,0.00652
-0.0051033419,-0.00196
-0.0051032419,0.00536
-0.0051031419,4e-005
-0.0051030419,0.0052
-0.0051029419,0.00116
-0.0051028419,0.0014
-0.0051027419,0.00544
-0.0051026419,-0.00108
-0.0051025419,0.00568
-0.0051024419,-0.0032
-0.0051023419,0.00536
-0.0051022419,-0.00172
-0.0051021419,0.00496
-0.0051020419,-0.00268
-0.0051019419,0.00052
-0.0051018419,-0.00024
-0.0051017419,0.00024
-0.0051016419,0.00164
-0.0051015419,-0.002
-0.0051014419,0.00596
-0.0051013419,-0.00432
-0.0051012419,0.00284
-0.0051011419,-0.00328
-0.0051010419,0.00168
-0.0051009419,-0.00016
-0.0051008419,0.00208
-0.0051007419,0.00088
-0.0051006419,-0.00124
-0.0051005419,0.00368
-0.0051004419,-0.00336
-0.0051003419,0.00452
-0.0051002419,-0.0034
-0.0051001419,0.00408
-0.0051000419,-0.00284
-0.0050999419,0.00232
-0.0050998419,-0.00072
-0.0050997419,0.0014
-0.0050996419,0.003
-0.0050995419,-0.00292
-0.0050994419,0.00336
-0.0050993419,-0.00152
-0.0050992419,0.00416
-0.0050991419,-0.00364
-0.0050990419,0.00328
-0.0050989419,0.00076
-0.0050988419,-0.00104
-0.0050987419,-0.00164
-0.0050986419,0.00112
-0.0050985419,0.00276
-0.0050984419,-0.0044
-0.0050983419,0.00232
-0.0050982419,-0.00144
-0.0050981419,0.0036
-0.0050980419,-0.00052
-0.0050979419,0.002
-0.0050978419,0.00324
-0.0050977419,-0.00052
-0.0050976419,0.00344
-0.0050975419,-0.00196
-0.0050974419,0.00512
-0.0050973419,-0.00208
-0.0050972419,0.0054
-0.0050971419,-0.00268
-0.0050970419,0.00272
-0.0050969419,0.00064
-0.0050968419,0.00192
-0.0050967419,0.00268
-0.0050966419,-0.003
