5.000000000000000278e-02 -2.125892711119985456e+00 2.111070809421086714e-02
7.499999999999993339e-01 -2.232432527511053699e+00 4.038409136338356326e-02
1.450000000000000400e+00 -1.398554922159020331e+00 6.396240616712839389e-02
2.149999999999999467e+00 -5.538756700940933309e-01 1.016013635383265223e-01
2.850000000000000533e+00 6.575981262963124241e-01 1.616089948628363915e-01
3.549999999999999822e+00 1.895376798574795796e+00 7.776885953612687474e-02
4.249999999999999112e+00 1.890421179338187541e+00 4.849792911533218343e-02
4.950000000000000178e+00 1.616983620185139747e+00 4.949596185360956302e-02
5.649999999999999467e+00 1.686071583132779272e+00 9.888586526289068479e-02
6.349999999999998757e+00 2.878997837823591865e+00 1.661788824913537077e-01
7.049999999999998046e+00 3.844454538327788384e+00 1.507227595234485740e-01
