5.000000000000000278e-02 1.999977889671953335e-01 2.947302710908087341e-03
7.499999999999993339e-01 3.802146595010511693e-02 1.194850295416816782e-03
1.450000000000000400e+00 1.013179465146067486e-02 6.093154414151363526e-04
2.149999999999999467e+00 6.500327034449680276e-03 4.872668513202332548e-04
2.850000000000000533e+00 7.081361853171440172e-03 5.087094040852283700e-04
3.549999999999999822e+00 1.122125396515278629e-02 6.415485667412719993e-04
4.249999999999999112e+00 3.017749589736136787e-02 1.060872153006126245e-03
4.950000000000000178e+00 2.567447605226773344e-02 9.766060675008778058e-04
5.649999999999999467e+00 9.478130480398697794e-03 5.891617602529925510e-04
6.349999999999998757e+00 4.975119071928582083e-03 4.259972654985577168e-04
7.049999999999998046e+00 4.137375759941979564e-03 3.916553346026393546e-04
