5.000000000000000278e-02 1.124024976520157787e-01 2.944661299443045339e-03
7.499999999999993339e-01 9.379492040764973726e-02 2.648827505401857817e-03
1.450000000000000400e+00 8.744530107173818789e-02 2.550891860978129512e-03
2.149999999999999467e+00 8.109568173582666628e-02 2.450058458939937452e-03
2.850000000000000533e+00 8.516772022298732536e-02 2.515074589186155982e-03
3.549999999999999822e+00 8.661723673632758247e-02 2.537915597520954119e-03
4.249999999999999112e+00 9.552036044458221686e-02 2.674981616318320918e-03
4.950000000000000178e+00 9.738383568446930261e-02 2.703020149429918081e-03
5.649999999999999467e+00 7.881810088707578987e-02 2.413114559572116999e-03
6.349999999999998757e+00 6.535977943370695209e-02 2.185074433664714339e-03
7.049999999999998046e+00 6.585480499537213483e-02 2.211580462183638900e-03
