#Foerster energy defect for n s_1/2 n s_1/2 <-> p p vs. n
#dE= E(state_p0) + E(state_p1) - E(n s_1/2) - E(n s_1/2)
#E(state) is binding energy of state (negative)
#Note: Sign of defect energy agrees with T. Walker and M. Saffman, Phys. Rev. A 77, 032723 (2008)
#Calulated using spectroscopic data from W. Li et al., Phys. Rev. A 67, 052502 (2003)
#Column 1-8: Foester energy defect frequency f in Hz (dE=h*f)
#Column 0: Main quantum number n
#Column 1: $nP_{3/2}(n-1)P_{3/2}$
#Column 2: $nP_{1/2}(n-1)P_{3/2}$
#Column 3: $nP_{3/2}(n-1)P_{1/2}$
#Column 4: $nP_{1/2}(n-1)P_{1/2}$
4.000000000000000000e+01 -5.453796532654296875e+09 -7.121454696977539062e+09 -7.262879223563476562e+09 -8.930537387885742188e+09
4.100000000000000000e+01 -4.966629116564453125e+09 -6.507227534720703125e+09 -6.634287280887695312e+09 -8.174885699044921875e+09
4.200000000000000000e+01 -4.534835813455566406e+09 -5.960960830865722656e+09 -6.075434231612304688e+09 -7.501559249022949219e+09
4.300000000000000000e+01 -4.150864498320312500e+09 -5.473581826215820312e+09 -5.576989515730468750e+09 -6.899706843625976562e+09
4.400000000000000000e+01 -3.808354329044921875e+09 -5.037424279410156250e+09 -5.131071656940429688e+09 -6.360141607305664062e+09
4.500000000000000000e+01 -3.501923796219726562e+09 -4.645981797086914062e+09 -4.730993746583984375e+09 -5.875051747451171875e+09
4.600000000000000000e+01 -3.227000536593750000e+09 -4.293709183631835938e+09 -4.371058537460937500e+09 -5.437767184499023438e+09
4.700000000000000000e+01 -2.979683921536621094e+09 -3.975861581780273438e+09 -4.046392568575195312e+09 -5.042570228818847656e+09
4.800000000000000000e+01 -2.756633522187011719e+09 -3.688363532912109375e+09 -3.752811182430664062e+09 -4.684541193155761719e+09
4.900000000000000000e+01 -2.554978122540039062e+09 -3.427701860639160156e+09 -3.486708133265136719e+09 -4.359431871364257812e+09
5.000000000000000000e+01 -2.372241138687500000e+09 -3.190837626850585938e+09 -3.244964876786132812e+09 -4.063561364949707031e+09
5.100000000000000000e+01 -2.206279205802246094e+09 -2.975133436041992188e+09 -3.024875693965332031e+09 -3.793729924205566406e+09
5.200000000000000000e+01 -2.055231386637695312e+09 -2.778293152279296875e+09 -2.824085616877929688e+09 -3.547147382518554688e+09
5.300000000000000000e+01 -1.917476988567382812e+09 -2.598311702213378906e+09 -2.640538754208984375e+09 -3.321373467854492188e+09
5.400000000000000000e+01 -1.791600389653808594e+09 -2.433433110825195312e+09 -2.472435103299316406e+09 -3.114267824471191406e+09
5.500000000000000000e+01 -1.676361596427246094e+09 -2.282115286333007812e+09 -2.318194317598144531e+09 -2.923948007504394531e+09
5.600000000000000000e+01 -1.570671508529785156e+09 -2.143000361067382812e+09 -2.176425198435546875e+09 -2.748754050973632812e+09
5.700000000000000000e+01 -1.473571064235839844e+09 -2.014889624369140625e+09 -2.045899916773437500e+09 -2.587218476907226562e+09
5.800000000000000000e+01 -1.384213598158203125e+09 -1.896722265331054688e+09 -1.925532158291748047e+09 -2.438040825464843750e+09
5.900000000000000000e+01 -1.301849867605468750e+09 -1.787557288115234375e+09 -1.814358534778320312e+09 -2.300065955288085938e+09
6.000000000000000000e+01 -1.225815303936767578e+09 -1.686558078536132812e+09 -1.711522724446777344e+09 -2.172265499046142578e+09
6.100000000000000000e+01 -1.155519125420410156e+09 -1.592979193806396484e+09 -1.616261900020019531e+09 -2.053721968405761719e+09
6.200000000000000000e+01 -1.090435012659667969e+09 -1.506155022616210938e+09 -1.527895081045898438e+09 -1.943615091002197266e+09
6.300000000000000000e+01 -1.030093099844726562e+09 -1.425490023689697266e+09 -1.445813109801025391e+09 -1.841210033645996094e+09
6.400000000000000000e+01 -9.740730774631347656e+08 -1.350450300555664062e+09 -1.369470001308105469e+09 -1.745847224400634766e+09
6.500000000000000000e+01 -9.219982366713867188e+08 -1.280556310823974609e+09 -1.298375459764160156e+09 -1.656933533916503906e+09
6.600000000000000000e+01 -8.735303137238769531e+08 -1.215376541411132812e+09 -1.232088387876464844e+09 -1.573934615563720703e+09
6.700000000000000000e+01 -8.283650160703125000e+08 -1.154522008493408203e+09 -1.170211243757568359e+09 -1.496368236180664062e+09
6.800000000000000000e+01 -7.862281307998046875e+08 -1.097641463469482422e+09 -1.112385123222656250e+09 -1.423798455892578125e+09
6.900000000000000000e+01 -7.468721318730468750e+08 -1.044417204855468750e+09 -1.058285464542724609e+09 -1.355830537525146484e+09
7.000000000000000000e+01 -7.100732156569824219e+08 -9.945614115317382812e+08 -1.007618288639404297e+09 -1.292106484514160156e+09
7.100000000000000000e+01 -6.756287051254882812e+08 -9.478129256303710938e+08 -9.601169010002441406e+08 -1.232301121505126953e+09
7.200000000000000000e+01 -6.433547721516113281e+08 -9.039344241350097656e+08 -9.155389926564941406e+08 -1.176118644639892578e+09
7.300000000000000000e+01 -6.130844348691406250e+08 -8.627099272756347656e+08 -8.736640868527832031e+08 -1.123289579259277344e+09
7.400000000000000000e+01 -5.846657934431152344e+08 -8.239425993654785156e+08 -8.342912858498535156e+08 -1.073568091772216797e+09
7.500000000000000000e+01 -5.579604729196777344e+08 -7.874528041450195312e+08 -7.972372788420410156e+08 -1.026729610067382812e+09
7.600000000000000000e+01 -5.328422462932128906e+08 -7.530763820131835938e+08 -7.623345775185546875e+08 -9.825687132382812500e+08
7.700000000000000000e+01 -5.091958147785644531e+08 -7.206631211740722656e+08 -7.294299504982910156e+08 -9.408972568937988281e+08
