#Foerster energy defect for n s_1/2 (n-2)s_1/2 <-> p p vs. n
#dE= E(state_p0) + E(state_p1) - E(n s_1/2) - E(n-2 s_1/2)
#E(state) is binding energy of state (negative)
#Note: Sign of defect energy agrees with T. Walker and M. Saffman, Phys. Rev. A 77, 032723 (2008)
#Calulated using spectroscopic data from W. Li et al., Phys. Rev. A 67, 052502 (2003)
#Column 1-8: Foester energy defect frequency f in Hz (dE=h*f)
#Column 0: Main quantum number n
#Column 1: $(n-1)P_{3/2}(n-2)P_{3/2}$
#Column 2: $(n-1)P_{1/2}(n-2)P_{3/2}$
#Column 3: $(n-1)P_{3/2}(n-2)P_{1/2}$
#Column 4: $(n-1)P_{1/2}(n-2)P_{1/2}$
#Column 5: $nP_{3/2}(n-3)P_{3/2}$
#Column 6: $nP_{3/2}(n-3)P_{1/2}$
#Column 7: $nP_{1/2}(n-3)P_{3/2}$
#Column 8: $nP_{1/2}(n-3)P_{1/2}$
4.000000000000000000e+01 5.935491101885742188e+09 4.126408410977539062e+09 3.968530403637695312e+09 2.159447712728515625e+09 -1.802136843097656250e+10 -2.016512461296972656e+10 -1.968902659529980469e+10 -2.183278277729394531e+10
4.100000000000000000e+01 5.242532393944824219e+09 3.574874229621582031e+09 3.433449703035644531e+09 1.765791538713378906e+09 -1.621450848660302734e+10 -1.818146918485302734e+10 -1.775510690476025391e+10 -1.972206760300927734e+10
4.200000000000000000e+01 4.643199437812011719e+09 3.102601019655761719e+09 2.975541273488769531e+09 1.434942855331542969e+09 -1.463183178392236328e+10 -1.644091447483056641e+10 -1.605795680133251953e+10 -1.786703949224169922e+10
4.300000000000000000e+01 4.123024419421386719e+09 2.696899402011230469e+09 2.582426001264648438e+09 1.156300983854003906e+09 -1.324051803430615234e+10 -1.490817619862939453e+10 -1.456323536220166016e+10 -1.623089352652490234e+10
4.400000000000000000e+01 3.670053745174072266e+09 2.347336417278564453e+09 2.243928727763916016e+09 9.212113998684082031e+08 -1.201324388767456055e+10 -1.355384230583178711e+10 -1.324231383803979492e+10 -1.478291225619604492e+10
4.500000000000000000e+01 3.274364048001464844e+09 2.045294097636230469e+09 1.951646720105957031e+09 7.225767697407226562e+08 -1.092715234254101562e+10 -1.235327735995166016e+10 -1.207121034340820312e+10 -1.349733536081884766e+10
4.600000000000000000e+01 2.927680109882324219e+09 1.783622109015136719e+09 1.698610159518066406e+09 5.545521586508789062e+08 -9.963034975521484375e+09 -1.128575230341699219e+10 -1.102974362256005859e+10 -1.235246095045556641e+10
4.700000000000000000e+01 2.623071467889648438e+09 1.556362820851562500e+09 1.479013467022460938e+09 4.123048199843750000e+08 -9.104679185645507812e+09 -1.033374913601074219e+10 -1.010085684588964844e+10 -1.132992679625439453e+10
4.800000000000000000e+01 2.354710155109375000e+09 1.358532494865722656e+09 1.288001508070800781e+09 2.918238478271484375e+08 -8.338344213890136719e+09 -9.482402214757324219e+09 -9.270074224614746094e+09 -1.041413222548193359e+10
4.900000000000000000e+01 2.117676230209472656e+09 1.185946219484375000e+09 1.121498569965820312e+09 1.897685592407226562e+08 -7.652338274286132812e+09 -8.719046921324707031e+09 -8.525062012385253906e+09 -9.591770659423828125e+09
5.000000000000000000e+01 1.907800878930664062e+09 1.035077140831542969e+09 9.760708682055664062e+08 1.033471301064453125e+08 -7.036675539804687500e+09 -8.032853200048828125e+09 -7.855272027968261719e+09 -8.851449688211914062e+09
5.100000000000000000e+01 1.721539217863037109e+09 9.029427296999511719e+08 8.488154797644042969e+08 3.021899160083007812e+07 -6.482796546205322266e+09 -7.414526556930419922e+09 -7.251650776445556641e+09 -8.183380787170166016e+09
5.200000000000000000e+01 1.555866702604492188e+09 7.870124723647460938e+08 7.372702144414062500e+08 -3.158401579882812500e+07 -5.983339227929687500e+09 -6.856062966028808594e+09 -6.706400993571289062e+09 -7.579124731669921875e+09
5.300000000000000000e+01 1.408194388547119141e+09 6.851326229055175781e+08 6.393401583068847656e+08 -8.372160733374023438e+07 -5.531950582916748047e+09 -6.350547071079833984e+09 -6.212785296562255859e+09 -7.031381784725830078e+09
5.400000000000000000e+01 1.276299321368896484e+09 5.954646077229003906e+08 5.532375557272949219e+08 -1.275971579182128906e+08 -5.123131097660400391e+09 -5.891985327900146484e+09 -5.764963818831787109e+09 -6.533818049071533203e+09
5.500000000000000000e+01 1.158267125325439453e+09 5.164344041540527344e+08 4.774324116799316406e+08 -1.644003094919433594e+08 -4.752105710320068359e+09 -5.475167475961181641e+09 -5.357859400226318359e+09 -6.080921165866943359e+09
5.600000000000000000e+01 1.052444468875732422e+09 4.466907789699707031e+08 4.106117477048339844e+08 -1.951419422014160156e+08 -4.414716367059814453e+09 -5.095551080705322266e+09 -4.987045219597412109e+09 -5.667879933243408203e+09
5.700000000000000000e+01 9.573995623786621094e+08 3.850707098410644531e+08 3.516458724729003906e+08 -2.206829800651855469e+08 -4.107332223041748047e+09 -4.749164944212646484e+09 -4.648650783175048828e+09 -5.290483504346435547e+09
5.800000000000000000e+01 8.718892137858886719e+08 3.305706536525878906e+08 2.995603612482910156e+08 -2.417581988854980469e+08 -3.826774320473876953e+09 -4.432528010379638672e+09 -4.339282987646728516e+09 -4.945036677552978516e+09
5.900000000000000000e+01 7.948312596284179688e+08 2.823225924555664062e+08 2.535126994948730469e+08 -2.589959676782226562e+08 -3.570252191469726562e+09 -4.142581044007324219e+09 -4.055959611979492188e+09 -4.628288464517333984e+09
