1.512500000000000000e+01	0.000000000000000000e+00	1.000500250125062607e-01	0.000000000000000000e+00	1.000500250125062607e-01
1.517605263157894768e+01	0.000000000000000000e+00	1.000500250125062607e-01	0.000000000000000000e+00	1.000500250125062607e-01
1.522710526315789537e+01	4.002001000500250427e-01	2.001000500250125214e-01	7.003501750875438248e-01	2.647074848488835674e-01
1.527815789473684305e+01	1.090545272636318153e+01	1.044552927354732486e+00	1.380690345172586220e+01	1.175321673283715063e+00
1.532921052631579073e+01	1.160580290145072446e+01	1.077571747300551053e+00	1.300650325162581389e+01	1.140745797998137023e+00
1.538026315789473664e+01	7.003501750875437359e+00	8.370785658169841437e-01	8.404202101050525897e+00	9.169736258040700472e-01
1.543131578947368432e+01	5.202601300650326444e+00	7.214709905880918317e-01	8.104052026013008003e+00	9.004502251125563461e-01
1.548236842105263200e+01	4.002001000500250427e+00	6.327719179926722948e-01	7.203601800900450769e+00	8.489526137307222831e-01
1.553342105263157968e+01	2.101050525262631474e+00	4.584868129020350236e-01	5.902951475737869380e+00	7.684988241989604285e-01
1.558447368421052737e+01	2.701350675337669038e+00	5.198751798605935059e-01	3.401700850425212863e+00	5.833868829259931665e-01
1.563552631578947505e+01	2.001000500250125214e+00	4.474373141570365253e-01	2.401200600300150256e+00	4.901430200666689330e-01
1.568657894736842273e+01	1.000500250125062607e+00	3.163859589963361474e-01	2.401200600300150256e+00	4.901430200666689330e-01
1.573763157894737041e+01	5.002501250625313034e-01	2.237186570785182627e-01	2.101050525262631474e+00	4.584868129020350236e-01
1.578868421052631810e+01	3.001500750375187820e-01	1.732917266201978446e-01	9.004502251125563461e-01	3.001500750375187820e-01
1.583973684210526400e+01	3.001500750375187820e-01	1.732917266201978446e-01	1.000500250125062607e+00	3.163859589963361474e-01
1.589078947368421169e+01	2.001000500250125214e-01	1.414921022884537416e-01	7.003501750875438248e-01	2.647074848488835674e-01
1.594184210526315937e+01	1.000500250125062607e-01	1.000500250125062607e-01	4.002001000500250427e-01	2.001000500250125214e-01
1.599289473684210705e+01	0.000000000000000000e+00	1.000500250125062607e-01	4.002001000500250427e-01	2.001000500250125214e-01
1.604394736842105473e+01	1.000500250125062607e-01	1.000500250125062607e-01	3.001500750375187820e-01	1.732917266201978446e-01
1.609500000000000242e+01	0.000000000000000000e+00	1.000500250125062607e-01	2.001000500250125214e-01	1.414921022884537416e-01
