Freq MHz	OD ctrl on	OD ctrl off
-5.0	1.35978005538	2.07730951752
-4.5	1.32414720871	1.6169182754
-4.0	1.19153389932	1.51970209004
-3.5	0.909513748262	1.36632806527
-3.0	0.958945140318	1.19601413153
-2.5	0.831680237633	1.02349376642
-2.0	0.530440857297	1.04783371378
-1.5	0.507457866548	0.966471478539
-1.0	0.238263296327	0.811944893714
-0.5	0.338422007545	0.629412164665
0.0	0.354001058681	0.645244955422
0.5	1.04733601727	0.584335859939
1.0	1.55881002892	0.578024246213
1.5	1.80200238987	0.591355510527
2.0	1.30642518342	0.470929621934
2.5	0.938020049232	0.336522756996
3.0	0.547595991943	0.520771655725
3.5	0.61277208067	0.370587855721
4.0	0.527617354213	0.487512887815
4.5	0.336958921157	0.213948021599
5.0	0.34931653317	0.33229719382
